Tags,TopShows,package_name,ConversionNames,Popular,ChannelDescription,Genre,AlternateNames,ShortName,OTT,Channel,zip_code
,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",HBO - East|HBO ﾖ West|HBO (E)|HBO (East)|HBO (W)|HBO (West)|HBO E|HBO East|HBO East (SAP)|HBO W|HBO West|HBO West (SAP)|hbo(W)|HBoEast|HBoWest|Home Box Office,TRUE,,Premium,"HBO HD, HBO West, HBO West HD, HBO HD West, Home Box Office, HBO: Home Box Office, Home Box Office HD, HBO: Home Box Office HD",HBO,FALSE,HBO,04992
,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",Starz - East|Starz - West|Starz (E)|Starz (East)|Starz (W)|Starz (West)|Starz E|Starz East|Starz East (SAP)|Starz W|Starz West|Starz West (SAP)|STARZ!|Starz! - East|Starz! - West|Starz! (E)|Starz! E|Starz! W|Starz! West|STARz(W),TRUE,,Premium,"STARZ, Starz HD, STARZ HD, Starz West, Starz West HD",STARZ,FALSE,Starz,04992
Movies,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",Showtime - East|Showtime - West|Showtime (E)|Showtime (East)|Showtime (W)|SHOWTIME (West)|Showtime E|Showtime East|Showtime East (SAP)|SHOWTIME HD (East)|Showtime W|Showtime West|Showtime West (SAP)|SHOWTIME(W)|SHOWTIMEﾮ|SHOWTIMEﾮ (East)|SHOWTIMEﾮ (West),TRUE,,Premium,"Showtime HD, Showtime West, Showtime West HD",SHOWTIME,FALSE,Showtime,04992
,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",Cinemax - East|Cinemax - West|Cinemax ﾖ West|Cinemax (E)|Cinemax (East)|Cinemax (W)|Cinemax (West)|Cinemax E|Cinemax East|Cinemax East (SAP)|Cinemax W|Cinemax West|Cinemax West (SAP)|Cinemax(E)|CINEMAX(W),TRUE,,Premium,"Cinemax HD, Cinemax West, Cinemax West HD, MAX HD",MAX,FALSE,Cinemax,04992
,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",USA|USA (W)|USA Network East|USA Network West|uSaNetWork|USATV,TRUE,,Entertainment,"USA, USA HD, USA Network HD, USA Network West, USA Network West HD, USA West, USA West HD, USA HD West",USA,FALSE,USA Network,04992
,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",TNT - Turner Network Television|TNT (Turner Network Television)|TNT West|TNT: Turner Network Television|Turner Network Television|Turner Network Television (TNT),TRUE,,Entertainment,"TNT HD, TNT West, TNT West HD, TNT HD West, TNT HD [West]",TNT,FALSE,TNT,04992
,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",Discovery Times|Discovery Times Channel|I.D.|ID|ID - Investigation Discovery|ID Discovery|ID-Investigation Discovery|Investigation Discovery (ID)|InvestigationDiscovery|Investigative Discovery,FALSE,,Educational,"Investigation Discovery HD, Investigation Discovery HD West",ID,FALSE,Investigation Discovery,04992
International,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",,TRUE,,Sports,ESPN HD,ESPN,FALSE,ESPN,04992
National,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",ESPN 2|ESPN-2,TRUE,,Sports,ESPN2 HD,ESPN2,FALSE,ESPN2,04992
National,,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",FOX SPORTS ONE|FOX Sports1|foxSPortS 1|FOXSPORTS1|FS1|Speed|Speed Channel|Speed Network|Speed TV|The Speed Channel,FALSE,,Sports,"Fox Sports, Fox Sports 1 HD, Fox Sports HD",,FALSE,Fox Sports 1,04992
"Spanish, Mexican",,"SELECT,ENTERTAINMENT,CHOICE,XTRA,ULTIMATE,PREMIER",Once Mexico|ONCE M�xico|Once Mexico ESP|Once TV|ONCE TV MEXCIO|Once TV Mexico|Once TV M�xico|oNCe tvMeXICo|OnceTV|OnceTVMexico|Once Canal,FALSE,,Multicultural,Once TV Mexico,,FALSE,Canal Once,04992
